,F070W,F090W,F115W,F150W,F200W,F277W,F356W,F444W,F140M,F162M,F182M,F210M,F250M,F300M,F335M,F360M,F410M,F430M,F460M,F480M,z
27,37.0594042386,36.3707711459,35.6865909122,33.2558006578,31.7926438471,30.645074425,29.2915190089,28.2697417534,34.0508653938,32.6172680524,31.9877333149,31.6547709083,31.3130306461,30.228877894,29.7733589813,29.2684267518,28.5109300395,28.3374901675,28.100965253,28.0747643111,8.58571428571
28,37.1127533652,36.5812634291,35.8814046006,33.6200956978,31.9121116212,30.8741910713,29.5726228334,28.4086552552,34.4013328553,32.9392608394,32.1471014859,31.7604061963,31.6105361633,30.4316242247,29.9604731665,29.5474549023,28.7145213503,28.5272881047,28.2492489692,28.1566768558,8.9
29,,36.8027730481,35.9922987366,33.9548401711,32.0521187138,31.117879256,29.812565522,28.5719733513,34.7774440548,33.2947970033,32.3418532682,31.8704948528,31.7929936436,30.7107833182,30.1271116715,29.8045437427,28.9462249508,28.6686100859,28.3751261984,28.2886757737,9.21428571429
30,,37.0260637493,36.0610048249,34.3270061114,32.2097344898,31.3484254092,30.0247006791,28.7493229004,35.1454852681,33.5978029258,32.5715874699,32.0180527134,31.8978082558,30.9829403064,30.2936698572,30.0081198338,29.2001044961,28.8358079803,28.5563651763,28.4191806375,9.52857142857
31,,37.2478362104,36.1150788022,34.6984621076,32.4015398714,31.5620977685,30.2349763578,28.9374016688,35.5237042986,33.976732833,32.7950658932,32.1840284209,31.9197166405,31.2270192565,30.4813377109,30.1656390372,29.5114946292,29.1176436063,28.7059509241,28.5809543456,9.84285714286
32,,37.3181479928,36.2339294277,35.0284595808,32.5759564223,31.7223056913,30.4114421616,29.134888077,35.9342857364,34.3305737098,33.0825154464,32.3142112289,31.895295101,31.4693270446,30.6692964358,30.3158964179,29.7549403143,29.4117778097,28.826544801,28.7338340597,10.1571428571
33,,37.3629937258,36.3796993374,35.3390058858,32.7844552999,31.8185523974,30.5959694884,29.3323435286,36.1465728031,34.6295196316,33.3927617112,32.4638315446,31.9583803712,31.6057469811,30.9238809321,30.4731618557,29.9731796592,29.6363638256,29.0088427449,28.8607629055,10.4714285714
34,,37.4053807734,36.5297780188,35.6207385704,32.9961036852,31.9430225431,30.7675434771,29.5224444511,36.2403242331,34.9400304957,33.6949969324,32.6379751514,32.0180081435,31.7996253456,31.1565238294,30.6462594308,30.1706769076,29.9192053119,29.2914794681,29.0076199518,10.7857142857
35,,37.4436022629,36.68895136,35.8592949112,33.2093433245,32.0601360793,30.9529839547,29.7258123897,36.272205788,35.2666515205,33.9606564009,32.8378511011,32.1279045936,32.0275522174,31.3666237385,30.8233833261,30.3118983469,30.1595342384,29.5552474003,29.2420392237,11.1
36,,37.4829512558,36.8632742713,36.0800274397,33.4588122324,32.1316219865,31.142062038,29.9353034924,36.2611581313,35.5848766189,34.2969340992,33.0961314463,32.2377145037,32.1147124357,31.5983050866,31.0643341218,30.4453133843,30.2782839887,29.7365770188,29.5473190388,11.4142857143
37,,37.5212165217,37.0257262108,36.2504911452,33.7234564343,32.2048697888,31.3272275763,30.140646048,36.2732735241,35.9375894303,34.59823589,33.3460028138,32.3673302788,32.1623025127,31.7489928663,31.2866636682,30.5799149845,30.3726667015,30.0076603938,29.7175852888,11.7285714286
38,,37.5612637826,37.1949650406,36.3530494543,33.9930386667,32.2853546606,31.517545386,30.3127596234,36.3492555994,36.2481986008,34.8614757619,33.6164736362,32.4895988161,32.2181037643,31.8722374242,31.4805617849,30.728490595,30.5175272819,30.2496172254,29.9493422057,12.0428571429
