,F070W,F090W,F115W,F150W,F200W,F277W,F356W,F444W,F140M,F162M,F182M,F210M,F250M,F300M,F335M,F360M,F410M,F430M,F460M,F480M,z
38,30.3531674487,28.9898665819,28.1634933501,27.6372792607,27.4085094143,27.446702887,27.6255782497,27.8638716823,27.7301926262,27.5328893469,27.4370103862,27.3890513941,27.4011914881,27.4891944059,27.5754889715,27.6456353724,27.7696320093,27.8275059052,27.9276058506,27.9720356424,12.0428571429
39,30.5436801554,29.129307664,28.2655173898,27.7078802704,27.4545589972,27.4726132795,27.6410353437,27.8724929328,27.8080170634,27.5954005141,27.488758411,27.4310759408,27.4320637275,27.5111319039,27.5927710197,27.6601158202,27.7803210701,27.8367144189,27.9346597563,27.9782467322,12.3571428571
40,30.7347194927,29.2693422016,28.3681341571,27.7790323634,27.5010687685,27.4988741734,27.6567809779,27.8813594258,27.8864498469,27.6584677772,27.541011885,27.473559894,27.4633308369,27.5334051655,27.6103578746,27.6748826415,27.7912716236,27.8461754569,27.941952489,27.984691344,12.6714285714
41,30.9262621726,29.409948442,28.4713263076,27.8507243018,27.5480331595,27.5254839799,27.672815049,27.8904716533,27.9654783679,27.7220820505,27.5937641999,27.5164988805,27.494990668,27.556013415,27.628249333,27.6899359271,27.8024840847,27.8558895528,27.9494847133,27.9913701862,12.9857142857
42,31.1182859542,29.5511052898,28.5750766709,27.9229445678,27.5954460784,27.5524405084,27.6891368451,27.8998295021,28.0450897968,27.7862338425,27.6470082468,27.5598879623,27.5270404697,27.5789552656,27.6464445816,27.7052751583,27.8139582614,27.865856634,27.9572564895,27.9982833634,13.3
43,31.31076962,29.6927923345,28.6793683234,27.9956814637,27.6433010137,27.5797410675,27.705745146,27.909432353,28.1252711812,27.8509133598,27.7007365209,27.6037217397,27.5594769898,27.6022288206,27.6649422962,27.7208993068,27.8256934537,27.876076121,27.9652673723,28.0054304752,13.6142857143
44,31.5036929475,29.8349898668,28.7841846457,28.0689231938,27.6915911217,27.6073825507,27.7226383067,27.9192791648,28.2060095272,27.9161105938,27.7549412096,27.6479944397,27.592296561,27.6258317573,27.6837407263,27.7368069184,27.8376885378,27.8865470113,27.9735164945,28.0128107001,13.9285714286
45,31.6970366751,29.9776788846,28.8895093663,28.1426579329,27.7403093002,27.6353615079,27.7398143285,27.9293685443,28.2872918664,27.9818153939,27.8096142665,27.6926999895,27.6254951741,27.6497613992,27.7028377662,27.7529961842,27.8499420368,27.8972679496,27.9820026378,28.0204228654,14.2428571429
46,31.8907824667,30.1208410912,28.9953265947,28.2168738832,27.7894482514,27.6636742073,27.7572709195,27.9396988064,28.3691053108,28.0480175291,27.8647474746,27.7378320797,27.659068539,27.6740147765,27.7222310152,27.7694650004,27.8624521799,27.9082372877,27.9907242917,28.0282655073,14.5571428571
47,32.0849128741,30.2644588883,29.1016208456,28.2915593208,27.8390005347,27.6923166867,27.7750055451,27.9502680245,28.4514370983,28.1147067395,27.9203325,27.7833842182,27.6930121382,27.6985886771,27.7419178283,27.786211019,27.8752169534,27.9194531349,27.9996797046,28.0363369209,14.8714285714
48,32.2794112989,30.4085153639,29.2083770555,28.366702635,27.8889586121,27.7212847984,27.7930154714,27.9610740733,28.5342746297,28.1818727796,27.9763609365,27.8293497752,27.7273212709,27.7234796915,27.76189536,27.8032316911,27.8882341435,27.9309134007,28.0088669261,28.0446352031,15.1857142857
49,32.4742619543,30.5529942771,29.315580594,28.4422923587,27.939314886,27.7505742462,27.811297802,27.972114665,28.6176054976,28.2495054544,28.032824344,27.875722023,27.7619910913,27.7486842487,27.782160601,27.8205243034,27.9015013727,27.9426158314,28.0182838431,28.0531582887,15.5
