,F070W,F090W,F115W,F150W,F200W,F277W,F356W,F444W,F140M,F162M,F182M,F210M,F250M,F300M,F335M,F360M,F410M,F430M,F460M,F480M,z
27,55.5310676206,48.1126299508,42.7879811533,38.4412121479,33.8363268248,29.7761248867,28.1065230991,27.7856978615,39.7093988607,37.536333815,33.8914264242,34.0004052087,32.0108705131,29.1678056995,28.3759935762,28.0925901544,27.7322792305,27.7046195994,28.0198675137,27.9008174375,8.58571428571
28,56.6615489721,48.9841724507,43.4680625758,38.9594931014,34.0447517742,30.1045616073,28.3639273894,27.8280185016,40.2879136263,38.0291268023,36.418503149,34.0056284053,32.4834565101,29.3422325142,28.6766707344,28.3408683696,27.7478108764,27.9560834204,27.842247114,28.066305559,8.9
29,57.791904293,49.8556751338,44.1482524118,39.4780638981,35.8227138391,30.5405252548,28.6232055198,27.8856136545,40.8672401331,38.5228090435,36.8475610354,33.9537423685,32.8135778654,29.7298826132,28.9836146063,28.4374372822,27.8490755066,27.8057455151,27.7376869328,27.9190963338,9.21428571429
30,58.9221660928,50.7271594054,44.828555767,39.9969091155,36.2065107728,30.9723154782,28.8190547806,27.9763462804,41.4473396264,39.017340272,37.2774206057,33.9274743714,33.0875555308,30.1314792864,29.234645538,28.6324124109,28.1187118281,27.7472445227,27.9703621006,27.8190314211,9.52857142857
31,60.052361976,51.59864366,45.5089766032,40.5160140818,36.5907357991,31.6022975601,28.9590129176,28.0518961681,42.028174691,39.5126815429,37.7080437981,34.0133740537,33.468897838,30.7793627993,29.3972082989,28.9688461947,28.3158001032,27.90189444,28.0871729145,27.9728404946,9.84285714286
32,61.1825153846,52.4701436995,46.1895179645,41.0353649821,36.9753636405,32.2482015134,29.2254767279,28.1633040205,42.609709391,40.0087953771,38.139394016,34.3069399156,34.067691238,31.5094200903,29.5992066534,29.2162173793,28.5359037412,28.3441852379,27.8768688313,28.1195591966,10.1571428571
33,62.31264622,53.341673081,46.8701821489,41.5549489077,37.3603704364,32.78545543,29.5221660714,28.2881874593,43.1919093458,40.5056458411,38.5714362112,36.9193053767,34.3855368296,32.1107265851,29.9527516941,29.4258038664,28.6370149208,28.7387815805,27.8879758055,27.9965557435,10.4714285714
34,63.4427713639,54.2132434108,47.5509708382,42.0747538665,37.7457337638,33.2372340012,29.7898109045,28.4002069524,43.7747417625,41.0031985825,39.0041369197,37.2982339106,34.383459425,32.6607830402,30.3135368352,29.5463554983,28.7775092311,28.5321338302,28.0507732104,27.936541366,10.7857142857
35,64.5729051181,55.0848645934,48.2318851998,42.5947687665,38.131432624,33.5012944564,30.043600642,28.5510642658,44.3581754345,41.5014208322,39.4374642652,37.6779294727,34.2048112834,32.9461456168,30.8457575467,29.7706913874,29.066394655,28.5693588825,28.4857367421,28.0410974325,11.1
36,65.7030595756,55.956545046,48.9129259651,43.1149833812,38.517447407,33.7489685093,30.2921923521,28.736708855,44.9421807188,42.0002813829,39.8713879376,38.0583594667,34.1976671308,33.2167713954,31.5131794045,30.0999764648,29.3081253046,28.9026242803,28.9029725072,28.3817955637,11.4142857143
37,66.833244936,56.828291883,49.5940934935,43.635388304,38.9037598398,33.9599477094,30.6187021063,28.9342652819,45.5267294964,42.4997505531,40.305879156,38.4394928017,34.2064911056,33.541943534,32.0595025224,30.4326505371,29.5104536307,29.2465385344,28.6759204699,28.7970644081,11.7285714286
38,67.9634697726,57.7001110767,50.2753878236,44.1559748964,39.2903529251,34.1160725188,30.9639716877,29.1471217873,46.1117951221,42.999800139,40.7409106199,38.8212998486,34.3491515975,33.8274973784,32.5951458534,30.9452865787,29.6685638847,29.5034835396,28.6406181386,28.8209022231,12.0428571429
39,69.0937412606,58.5720075975,50.9568087154,44.6767352324,39.6772108742,34.3184123311,31.3282276767,29.2741549775,46.6973523681,43.5004033595,41.1764564538,39.2037523887,34.4953375395,34.161207944,32.975108633,31.5810925504,29.7758279082,29.579338194,28.9217940741,28.7074578131,12.3571428571
40,70.2240653719,59.4439855358,51.6383556865,45.1976620428,40.0643190369,34.5342858275,31.8287072685,29.3911475934,47.2833773629,44.0015347979,41.6124921474,39.5868235572,34.9004295394,34.5115805078,33.2008260595,32.0916694791,30.0070828515,29.6489712667,29.2423959984,28.8285890215,12.6714285714
41,71.3544470414,60.3160482103,52.3200280421,45.7187486598,40.4516638305,36.0699373627,32.3634821611,29.5905579257,47.8698475281,44.5031703404,42.0489944933,39.9704877845,37.5032517603,34.6095435455,33.4705479698,32.5979242048,30.3040799831,29.8708378638,29.5402647425,29.1264503945,12.9857142857
42,72.4848903099,61.1881982621,53.0018249016,46.2399889639,40.8392326695,36.33911271,32.8049531349,29.8346990622,48.4567415154,45.0052871144,42.4859415241,40.3547207366,37.8209620355,34.547448035,33.7566765047,33.0064301709,30.5994326247,30.0267880935,29.6940906868,29.4344408824,13.3
43,73.6153984464,62.0604377382,53.6837452219,46.7613773339,41.2270138974,36.6085926048,33.2260724237,30.0681970021,49.0440391431,45.5078634273,42.9233124505,40.7394992552,38.1392995566,34.5371999361,34.0111111495,33.2331659559,31.0146977834,30.1834494819,29.7028170023,29.6539689898,13.6142857143
44,74.7459740533,62.9327681648,54.3657878172,47.2829085994,41.6149967207,36.878361265,33.5625941529,30.2857059976,49.6317213347,46.0108787065,43.3610875999,41.1248012997,38.4582416504,34.5200421941,34.2904885292,33.4443088652,31.5726386906,30.5567198515,29.8231745989,29.746701658,13.9285714286
45,75.8766191577,63.8051906126,55.0479513779,47.8045779968,42.0031711458,37.1484038941,33.7947758293,30.4911280746,50.2197700588,46.5143134408,43.7992483569,41.5106058903,38.7777666924,34.5030002003,34.601818861,33.7133447672,32.0709246521,31.11385396,30.0549405506,29.8106291784,14.2428571429
46,77.0073352889,64.6777057537,55.7302344863,48.3263811293,42.3915279196,37.4187066226,33.9915559223,30.6796322483,50.8081682716,47.0181491239,44.2377771065,41.8968930526,39.0978540533,34.6034368988,34.762284369,33.9542638921,32.5058198803,31.6192636753,30.1637970178,29.9508035161,14.5571428571
47,78.1381235464,65.5503139123,56.4126356317,48.8483139294,42.7800584729,37.6892564526,34.1786482938,30.9061736855,51.3968998614,47.5223682011,44.6766571786,42.2836437658,39.4184840471,34.8111233341,34.7330798059,34.1984599363,32.9413786986,32.1029394292,30.3025883514,30.1222192588,14.8714285714
48,79.2689846582,66.4230151095,57.0951532234,49.3703726259,43.1687548678,37.9600412039,34.3400822087,31.17940824,51.9859495959,48.0269540169,45.1158727959,42.6708399114,39.7396378818,37.2708877544,34.7130602757,34.4884733255,33.252728678,32.636057078,30.6796884579,30.2581762597,15.1857142857
49,80.3999190316,67.2958091026,57.7777856029,49.8925537125,43.5576097479,38.2310494627,34.4716245515,31.4460706634,52.5753030719,48.5318907661,45.5554090238,43.0584642262,40.0612976121,37.5324985289,34.7141011322,34.7802537794,33.4395963076,33.0084578375,31.2105091206,30.4569486575,15.5
